# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1759480965364376005,Mon Feb 19 07:32:06 +0000 2024,0,Shin Tae-Young Bocorkan Fasilitas Yang Diberikan Negara yang Bikin Kagum https://t.co/MIndlneaNq,1759480965364376005,,,in,,0,0,0,https://x.com/bisnisbandung63/status/1759480965364376005,1690969676287983616,bisnisbandung63
1759473780521644510,Mon Feb 19 07:03:33 +0000 2024,0,Shin Tae-Young Harap Skuad Garuda Maksimalkan Menit Bermain di Klub Masing-masing https://t.co/4dPu1eAP0z,1759473780521644510,,,in,,0,0,0,https://x.com/bisnisbandung63/status/1759473780521644510,1690969676287983616,bisnisbandung63
1752611174523486342,Wed Jan 31 08:34:00 +0000 2024,2,PSSI sedang disorot oleh banyak pihak bahwa coach Shin Tae-young akan melatih timnas hanya sampai Juni 2024 sesuai komitmen dan kontrak yang ada. Shin juga mengatakan bahwa dirinya telah menerima tawaran untu melatih tmas negara lain. https://t.co/YAdBrIkXUQ,1752611174523486342,https://pbs.twimg.com/ext_tw_video_thumb/1752211007911636992/pu/img/jVQGFVPNgy72YjQ0.jpg,,in,Jakarta,0,0,1,https://x.com/jawapos/status/1752611174523486342,2392460208,jawapos
1751597257730986347,Sun Jan 28 13:31:57 +0000 2024,0,@indosupporter Permainan Ini Indonesia Kalah Dari Australia Dalam Pertandingan #AsianCup2023 Pecat Pelatih Shin Tae-Young Dan Ganti Dengan Pelatih Baru Mourinho Asnawi Arhan #TimnasDay,1751598992310591654,,indosupporter,in,Everywhere,0,0,0,https://x.com/Sherly0ctaviany/status/1751598992310591654,1161226499157942272,Sherly0ctaviany
1750334490298487165,Thu Jan 25 01:47:16 +0000 2024,0,Aku Se7 sama Shin tae-young semoga korsel menang lawan jepang ,1750334490298487165,,,in,Jati bedug manyaran wonogiri ,0,0,0,https://x.com/DaniPrasetyo993/status/1750334490298487165,1199737714523824128,DaniPrasetyo993
1750087958487834661,Wed Jan 24 09:27:39 +0000 2024,1,4 LIVE Streaming dan Prediksi Line Up JEPANG vs INDONESIA Malam Ini di Piala Asia Ini Skenario Shin Tae-young #TimnasDay #Timnas #TimnasIndonesia #Jepang #AFCAsianCup2023 @TimnasIndonesia @SapawargaSby https://t.co/cvf2WSKR2F,1750087958487834661,,,in,"Kota Surabaya, Jawa Timur",0,0,0,https://x.com/zona_raya/status/1750087958487834661,1413176894837583877,zona_raya
1749985819295953084,Wed Jan 24 02:42:34 +0000 2024,0,Tim Indonesia asuhan Shin Tae-young memulai laga dengan melakukan press agresif kepada Vietnam khususnya pada area flank yang menjadi pressing trigger Indonesia. https://t.co/WRMkyJH8P4,1749986018256912749,https://pbs.twimg.com/ext_tw_video_thumb/1749985821414100992/pu/img/LsvJBbzB6o2fZ1Co.jpg,nathanaelafuk,in,DKI Jakarta,0,1,0,https://x.com/nathanaelafuk/status/1749986018256912749,1263370571804377088,nathanaelafuk
1748622789831995732,Sat Jan 20 08:25:37 +0000 2024,4,Tim Indonesia asuhan Shin Tae-young memulai laga dengan melakukan press agresif kepada Vietnam khususnya pada area flank yang menjadi pressing trigger Indonesia. https://t.co/LAoH5DrLRB,1748622796081840536,https://pbs.twimg.com/ext_tw_video_thumb/1748609292020994048/pu/img/ZAogU9v7M_hrjJeP.jpg,DeepLyingDave,in,,0,2,2,https://x.com/DeepLyingDave/status/1748622796081840536,1660634628892532736,DeepLyingDave
1746850029674148067,Mon Jan 15 11:01:16 +0000 2024,53,Pelatih Irak Jesus Casas mewanti Shin Tae-young agar tak menggunakan taktik yang sama seperti saat terakhir kali bersua. Menarik nih akankah STY menjawab tantangan Casas dengan menghadirkan taktik yang berbeda? https://t.co/aCVYGL145f,1746850029674148067,https://pbs.twimg.com/media/GD4O2C3aEAAOqgo.jpg,,in,Indonesia,1,5,4,https://x.com/panditfootball/status/1746850029674148067,947281567,panditfootball
1742124687860347229,Tue Jan 02 10:04:27 +0000 2024,0,Uji Coba Timnas Indonesia Kontra Libya Shin Tae-young Sebut untuk Ukur Kondisi Pemain https://t.co/SsFcOjteXP,1742124687860347229,,,in,Indonesia,0,0,0,https://x.com/Indonesiatren_/status/1742124687860347229,1717047334843064320,Indonesiatren_
1730225474616320459,Thu Nov 30 14:01:13 +0000 2023,1,Soal Shin Tae-young Out Legenda Timnas Indonesia Ini Justru Mengkhawatirkan Hal Ini ... https://t.co/iPeK35Zp3L,1730225474616320459,,,in,"Pulo Gadung, Indonesia",0,0,0,https://x.com/tvOneNews/status/1730225474616320459,55507370,tvOneNews
1729865508927975491,Thu Nov 30 07:17:19 +0000 2023,0,@indosupporter @Sport77Official Udh pertahankanlah coach Shin Tae-young kalo ganti pelatih belum tentu juga peringkat FIFA kita naik. @erickthohir,1730123828108677380,,indosupporter,in,Jakarta Capital Region,0,0,0,https://x.com/ismaileko_/status/1730123828108677380,1437149306,ismaileko_
1727170179334054090,Wed Nov 22 03:40:34 +0000 2023,0,Shin Tae-young Keluhkan Rumput Rizal Memorial Stadium yang tidak Berstandar FIFA https://t.co/2TfJoRIov5,1727170179334054090,,,in,,0,0,0,https://x.com/Aminudd91357723/status/1727170179334054090,1519667269365772288,Aminudd91357723
1723553908315054347,Sun Nov 12 04:10:48 +0000 2023,0,Raffi Ahmad Pantas Kecele Klub Baru Pratama Arhan Diungkap Shin Tae-young Bukan PSIS dan RANS FC https://t.co/q3W90r3AlO lewat @banjarmasinpost,1723553908315054347,,,in,"Banjarmasin, Kalsel",0,0,0,https://x.com/banjarmasinpost/status/1723553908315054347,65639033,banjarmasinpost
